date,high,low,open,close,volume
2017-08-17,39.0,39.0,,37.5,58299310.0
2017-08-18,38.5,37.2,39.0,37.725,1348450.0
2017-08-21,36.8,35.8,37.6,35.9875,1802590.0
2017-08-22,36.0,34.8,35.825,35.4,2531870.0
2017-08-23,36.8,36.0,35.4,36.1875,520790.0
2017-08-24,36.35,36.25,36.1,36.1875,1289627.0
2017-08-25,36.3,35.9,36.3,36.074999999999996,615370.0
2017-08-28,36.3,36.0,36.099999999999994,36.125,761670.0
2017-08-29,36.3,36.1,36.15,36.1625,990000.0
2017-08-30,36.3,36.3,36.2,36.224999999999994,830100.0
2017-08-31,36.3,36.1,36.3,36.2,1196380.0
2017-09-01,36.3,36.1,36.2,36.2,978060.0
2017-09-05,36.4,36.05,36.2,36.224999999999994,1449290.0
2017-09-06,38.2,36.4,36.224999999999994,37.262499999999996,1921010.0
2017-09-07,39.3,38.2,37.275,38.5625,900290.0
2017-09-08,38.5,38.2,38.375,38.337500000000006,339640.0
2017-09-11,38.1,37.0,38.35,37.5,715570.0
2017-09-12,37.5,37.0,37.5,37.0625,330150.0
2017-09-13,37.6,37.35,37.175,37.3875,312470.0
2017-09-14,37.6,37.45,37.425,37.4625,268880.0
2017-09-15,37.6,37.4,37.475,37.45,352480.0
2017-09-18,37.5,37.3,37.425,37.3625,323580.0
2017-09-19,37.3,36.95,37.349999999999994,37.1125,820020.0
2017-09-20,37.3,36.9,37.125,37.0,789670.0
2017-09-21,36.95,36.9,36.925,36.875,535570.0
2017-09-22,36.9,36.7,36.9,36.75,1288830.0
2017-09-25,36.85,36.65,36.8,36.712500000000006,4504360.0
2017-09-26,36.9,36.6,36.675,36.75,718370.0
2017-09-27,37.45,36.6,36.75,36.975,1473820.0
2017-09-28,37.8,37.25,36.925,37.3875,1738590.0
2017-09-29,37.75,37.25,37.275,37.4375,752340.0
2017-10-02,37.6,37.25,37.375,37.3375,634350.0
2017-10-03,37.3,36.9,37.375,37.0375,659660.0
2017-10-04,37.0,36.9,37.05,36.8875,477470.0
2017-10-05,37.15,36.85,36.9,36.9875,219990.0
2017-10-06,37.2,37.05,36.975,37.0625,409110.0
2017-10-09,37.6,37.45,37.125,37.475,4936770.0
2017-10-10,38.2,37.45,37.525000000000006,37.75,869010.0
2017-10-11,39.5,38.2,37.725,38.8375,3495690.0
2017-10-12,40.8,39.55,38.85,39.925,2545902.0
2017-10-13,41.05,39.9,39.8,40.2625,1322500.0
2017-10-16,41.2,40.2,40.05,40.575,2217910.0
2017-10-17,41.5,40.7,40.45,41.025000000000006,4612170.0
2017-10-18,42.1,41.3,40.95,41.675,2654380.0
2017-10-19,41.7,41.1,41.65,41.2,1057180.0
2017-10-20,41.6,41.1,41.150000000000006,41.275000000000006,1480860.0
2017-10-23,41.9,40.8,41.2,41.175,1498490.0
2017-10-24,40.95,40.7,41.05,40.7625,826280.0
2017-10-25,41.15,40.7,40.825,40.787499999999994,1275530.0
2017-10-26,41.3,40.7,40.85,40.875,757830.0
2017-10-27,41.0,40.6,40.85,40.75,738890.0
2017-10-30,41.8,40.85,40.725,41.15,1960480.0
2017-10-31,41.3,40.65,40.975,40.9125,6027260.0
2017-11-01,40.9,40.3,40.875,40.4875,994020.0
2017-11-02,40.6,37.7,40.45,39.025000000000006,2483020.0
2017-11-03,40.2,37.8,38.95,39.0,1257280.0
2017-11-06,40.2,39.9,39.0,39.95,3054523.0
2017-11-07,39.8,39.5,40.05,39.625,579800.0
